id,rank,score,name,course,region,jis_code,pref,city,ward,station,distance,type,gender,review,did_pref,did_city
1,1,78,灘中学校,NA,近畿,28100,兵庫県,神戸市,東灘区,魚崎駅,11,私立,男子校,4.6499999999999995,78.7931642111018,93.9352274396257
2,2,74,筑波大学附属駒場中学校,NA,関東,13112,東京都,世田谷区,NA,駒場東大前駅,9,国立,男子校,4.59,98.5507482633681,100
3,2,74,開成中学校,NA,関東,13118,東京都,荒川区,NA,西日暮里駅,4,私立,男子校,4.58,98.5507482633681,100
4,2,74,渋谷教育学園幕張中学校,1次,関東,12100,千葉県,千葉市,美浜区,海浜幕張駅,14,私立,共学,4.56,76.754353582158,91.4787512398059
5,5,73,桜蔭中学校,NA,関東,13105,東京都,文京区,NA,水道橋駅,7,私立,女子校,4.42,98.5507482633681,100
6,5,73,聖光学院中学校,1回,関東,14100,神奈川県,横浜市,中区,山手駅,11,私立,男子校,4.58,94.6540436924625,97.6473537594133
7,5,73,聖光学院中学校,2回,関東,14100,神奈川県,横浜市,中区,山手駅,11,私立,男子校,4.58,94.6540436924625,97.6473537594133
8,5,73,渋谷教育学園幕張中学校,2次,関東,12100,千葉県,千葉市,美浜区,海浜幕張駅,14,私立,共学,4.56,76.754353582158,91.4787512398059
9,9,72,早稲田中学校,2回,関東,13104,東京都,新宿区,NA,早稲田駅,3,私立,男子校,4.24,98.5507482633681,100
10,9,72,渋谷教育学園渋谷中学校,2回,関東,13113,東京都,渋谷区,NA,渋谷駅,9,私立,共学,4.42,98.5507482633681,100
11,9,72,渋谷教育学園渋谷中学校,3回,関東,13113,東京都,渋谷区,NA,渋谷駅,9,私立,共学,4.42,98.5507482633681,100
12,12,71,女子学院中学校,NA,関東,13101,東京都,千代田区,NA,市ケ谷駅,9,私立,女子校,4.38,98.5507482633681,100
13,12,71,麻布中学校,NA,関東,13103,東京都,港区,NA,広尾駅,11,私立,男子校,4.44,98.5507482633681,100
14,12,71,慶應義塾中等部,NA,関東,13103,東京都,港区,NA,麻布十番駅,12,私立,共学,4.24,98.5507482633681,100
15,12,71,渋谷教育学園渋谷中学校,1回,関東,13113,東京都,渋谷区,NA,渋谷駅,9,私立,共学,4.42,98.5507482633681,100
16,12,71,栄光学園中学校,NA,関東,14204,神奈川県,鎌倉市,NA,大船駅,17,私立,男子校,4.48,94.6540436924625,96.373690000579
17,12,71,洛南高等学校附属中学校,3科,近畿,26100,京都府,京都市,南区,東寺駅,11,私立,共学,4.2700000000000005,84.4101847610263,95.5079615473693
18,12,71,洛南高等学校附属中学校,4科,近畿,26100,京都府,京都市,南区,東寺駅,11,私立,共学,4.2700000000000005,84.4101847610263,95.5079615473693
19,12,71,東大寺学園中学校,3科,近畿,29201,奈良県,奈良市,NA,高の原駅,26,私立,男子校,4.46,67.0351906003369,87.0518568649014
20,20,70,雙葉中学校,NA,関東,13101,東京都,千代田区,NA,四ツ谷駅,2,私立,女子校,4.52,98.5507482633681,100
21,20,70,広尾学園中学校,2回ISG,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
22,20,70,広尾学園中学校,医進･ｻｲｴﾝｽ回,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
23,20,70,早稲田中学校,1回,関東,13104,東京都,新宿区,NA,早稲田駅,3,私立,男子校,4.24,98.5507482633681,100
24,20,70,海城中学校,1回,関東,13104,東京都,新宿区,NA,新大久保駅,7,私立,男子校,4.39,98.5507482633681,100
25,20,70,豊島岡女子学園中学校,1回,関東,13116,東京都,豊島区,NA,東池袋駅,7,私立,女子校,4.5,98.5507482633681,100
26,20,70,豊島岡女子学園中学校,2回,関東,13116,東京都,豊島区,NA,東池袋駅,7,私立,女子校,4.5,98.5507482633681,100
27,20,70,豊島岡女子学園中学校,3回,関東,13116,東京都,豊島区,NA,東池袋駅,7,私立,女子校,4.5,98.5507482633681,100
28,20,70,西大和学園中学校,本校3科女子,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
29,29,69,広尾学園中学校,2回本科,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
30,29,69,広尾学園中学校,3回本科,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
31,29,69,芝中学校,2回,関東,13103,東京都,港区,NA,神谷町駅,6,私立,男子校,4.2,98.5507482633681,100
32,29,69,海城中学校,2回,関東,13104,東京都,新宿区,NA,新大久保駅,7,私立,男子校,4.39,98.5507482633681,100
33,29,69,筑波大学附属中学校,NA,関東,13105,東京都,文京区,NA,護国寺駅,5,国立,共学,4.2,98.5507482633681,100
34,29,69,小石川中等教育学校一般,NA,関東,13105,東京都,文京区,NA,千石駅,5,公立,共学,4.3,98.5507482633681,100
35,29,69,駒場東邦中学校,NA,関東,13112,東京都,世田谷区,NA,池尻大橋駅,11,私立,男子校,4.4,98.5507482633681,100
36,29,69,武蔵中学校,NA,関東,13120,東京都,練馬区,NA,新桜台駅,7,私立,男子校,4.26,98.5507482633681,100
37,29,69,吉祥女子中学校,2回,関東,13203,東京都,武蔵野市,NA,西荻窪駅,9,私立,女子校,4.22,98.5507482633681,100
38,29,69,早稲田大学系属早稲田実業学校中等部,女子,関東,13214,東京都,国分寺市,NA,国分寺駅,6,私立,共学,4.14,98.5507482633681,100
39,29,69,洗足学園中学校,3回,関東,14130,神奈川県,川崎市,高津区,武蔵溝ノ口駅,11,私立,女子校,4.06,94.6540436924625,99.2867924969869
40,29,69,慶應義塾湘南藤沢中等部,一般,関東,14205,神奈川県,藤沢市,NA,香川駅,NA,私立,共学,4.42,94.6540436924625,94.1726462274408
41,29,69,栄東中学校,東大特待Ⅰ算数1教科型,関東,11100,埼玉県,さいたま市,見沼区,東大宮駅,13,私立,共学,4.13,81.6736001764522,93.9118974339608
42,29,69,千葉中学校,NA,関東,12100,千葉県,千葉市,中央区,県庁前駅,13,公立,共学,4.2700000000000005,76.754353582158,91.4787512398059
43,29,69,市川中学校,第2回,関東,12203,千葉県,市川市,NA,鬼越駅,24,私立,共学,4.22,76.754353582158,97.9121197722459
44,29,69,甲陽学院中学校,NA,近畿,28204,兵庫県,西宮市,NA,香櫨園駅,10,私立,男子校,4.22,78.7931642111018,93.6507773066413
45,29,69,東大寺学園中学校,4科,近畿,29201,奈良県,奈良市,NA,高の原駅,26,私立,男子校,4.46,67.0351906003369,87.0518568649014
46,46,68,東洋英和女学院中学部B,NA,関東,13103,東京都,港区,NA,麻布十番駅,9,私立,女子校,4.05,98.5507482633681,100
47,46,68,お茶の水女子大学附属中学校,女子,関東,13105,東京都,文京区,NA,茗荷谷駅,8,国立,共学,4.109999999999999,98.5507482633681,100
48,46,68,香蘭女学校中等科2回,NA,関東,13109,東京都,品川区,NA,旗の台駅,7,私立,女子校,3.9299999999999997,98.5507482633681,100
49,46,68,鷗友学園女子中学校,2回,関東,13112,東京都,世田谷区,NA,宮の坂駅,7,私立,女子校,4.2,98.5507482633681,100
50,46,68,巣鴨中学校,算数選抜,関東,13116,東京都,豊島区,NA,大塚駅,8,私立,男子校,4.1,98.5507482633681,100
51,46,68,吉祥女子中学校,1回,関東,13203,東京都,武蔵野市,NA,西荻窪駅,9,私立,女子校,4.22,98.5507482633681,100
52,46,68,浅野中学校,NA,関東,14100,神奈川県,横浜市,神奈川区,新子安駅,12,私立,男子校,4.33,94.6540436924625,97.6473537594133
53,46,68,フェリス女学院中学校,NA,関東,14100,神奈川県,横浜市,中区,石川町駅,11,私立,女子校,4.1499999999999995,94.6540436924625,97.6473537594133
54,46,68,慶應義塾普通部,NA,関東,14100,神奈川県,横浜市,港北区,日吉駅,6,私立,男子校,4.2700000000000005,94.6540436924625,97.6473537594133
55,46,68,洗足学園中学校,1回,関東,14130,神奈川県,川崎市,高津区,武蔵溝ノ口駅,11,私立,女子校,4.06,94.6540436924625,99.2867924969869
56,46,68,洗足学園中学校,2回,関東,14130,神奈川県,川崎市,高津区,武蔵溝ノ口駅,11,私立,女子校,4.06,94.6540436924625,99.2867924969869
57,46,68,栄東中学校,東大特待Ⅰ 4教科型,関東,11100,埼玉県,さいたま市,見沼区,東大宮駅,13,私立,共学,4.13,81.6736001764522,93.9118974339608
58,46,68,栄東中学校,東大Ⅱ,関東,11100,埼玉県,さいたま市,見沼区,東大宮駅,13,私立,共学,4.13,81.6736001764522,93.9118974339608
59,46,68,浦和明の星女子中学校,第1回,関東,11100,埼玉県,さいたま市,緑区,東浦和駅,10,私立,女子校,4.1899999999999995,81.6736001764522,93.9118974339608
60,46,68,開智中学校,特待A≪先端特待≫,関東,11100,埼玉県,さいたま市,岩槻区,東岩槻駅,18,私立,共学,3.92,81.6736001764522,93.9118974339608
61,46,68,昭和学院秀英中学校,午後特別,関東,12100,千葉県,千葉市,美浜区,海浜幕張駅,14,私立,共学,4.06,76.754353582158,91.4787512398059
62,46,68,市川中学校,第1回,関東,12203,千葉県,市川市,NA,鬼越駅,24,私立,共学,4.22,76.754353582158,97.9121197722459
63,46,68,四天王寺中学校,医志,近畿,27100,大阪府,大阪市,天王寺区,四天王寺前夕陽ヶ丘駅,7,私立,女子校,4.06,95.935960605068,99.9851039742597
64,46,68,西大和学園中学校,県外･岡山,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
65,46,68,西大和学園中学校,県外･広島,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
66,46,68,西大和学園中学校,県外･札幌,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
67,46,68,西大和学園中学校,県外･東海,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
68,46,68,西大和学園中学校,県外･東京,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
69,46,68,西大和学園中学校,県外･福岡,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
70,46,68,南高等学校附属中学校,NA,関東,14100,神奈川県,横浜市,港南区,上永谷駅,NA,公立,共学,4.17,94.6540436924625,97.6473537594133
71,46,68,東葛飾中学校,NA,関東,12217,千葉県,柏市,NA,柏駅,NA,公立,その他,4.22,76.754353582158,91.5276175469203
72,46,68,横浜サイエンスフロンティア高等学校附属中学校,NA,関東,14100,神奈川県,横浜市,鶴見区,鶴見小野駅,NA,公立,その他,4.52,94.6540436924625,97.6473537594133
73,73,67,北嶺中学校,大阪･特待選抜,北海道,1100,北海道,札幌市,清田区,福住駅,NA,私立,男子校,4,76.0440292813976,97.0934354247376
74,73,67,北嶺中学校,東京･名古屋特待選抜,北海道,1100,北海道,札幌市,清田区,福住駅,NA,私立,男子校,4,76.0440292813976,97.0934354247376
75,73,67,北嶺中学校,本校･仙台特待選抜,北海道,1100,北海道,札幌市,清田区,福住駅,NA,私立,男子校,4,76.0440292813976,97.0934354247376
76,73,67,白百合学園中学校,一般,関東,13101,東京都,千代田区,NA,飯田橋駅,12,私立,女子校,4.14,98.5507482633681,100
77,73,67,学習院女子中等科一般B,NA,関東,13104,東京都,新宿区,NA,西早稲田駅,5,私立,女子校,4.06,98.5507482633681,100
78,73,67,世田谷学園中学校,算数特選理数,関東,13112,東京都,世田谷区,NA,三軒茶屋駅,12,私立,男子校,4.01,98.5507482633681,100
79,73,67,本郷中学校,3回,関東,13116,東京都,豊島区,NA,巣鴨駅,7,私立,男子校,4.159999999999999,98.5507482633681,100
80,73,67,早稲田大学高等学院中学部,NA,関東,13120,東京都,練馬区,NA,上石神井駅,10,私立,男子校,4.31,98.5507482633681,100
81,73,67,サレジオ学院中学校,A,関東,14100,神奈川県,横浜市,都筑区,北山田駅,8,私立,男子校,4.1899999999999995,94.6540436924625,97.6473537594133
82,73,67,開智中学校,算数特待,関東,11100,埼玉県,さいたま市,岩槻区,東岩槻駅,18,私立,共学,3.92,81.6736001764522,93.9118974339608
83,73,67,東邦大学付属東邦中学校,後期,関東,12216,千葉県,習志野市,NA,京成大久保駅,13,私立,共学,4.1499999999999995,76.754353582158,99.8842205031868
84,73,67,東邦大学付属東邦中学校,前期,関東,12216,千葉県,習志野市,NA,京成大久保駅,13,私立,共学,4.1499999999999995,76.754353582158,99.8842205031868
85,73,67,須磨学園中学校,2回B,近畿,28100,兵庫県,神戸市,須磨区,板宿駅,14,私立,共学,4.39,78.7931642111018,93.9352274396257
86,73,67,須磨学園中学校,3回B,近畿,28100,兵庫県,神戸市,須磨区,板宿駅,14,私立,共学,4.39,78.7931642111018,93.9352274396257
87,73,67,洛南高等学校附属中学校,専願3科,近畿,26100,京都府,京都市,南区,東寺駅,11,私立,共学,4.2700000000000005,84.4101847610263,95.5079615473693
88,73,67,久留米大学附設中学校,NA,九州・沖縄,40203,福岡県,久留米市,NA,久留米大学前駅,18,私立,共学,4.26,73.7395754100998,62.2690527370795
89,89,66,広尾学園中学校,1回本科,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
90,89,66,広尾学園中学校,国際生AG回,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
91,89,66,世田谷学園中学校,算数特選本科,関東,13112,東京都,世田谷区,NA,三軒茶屋駅,12,私立,男子校,4.01,98.5507482633681,100
92,89,66,東京農業大学第一高等学校中等部,2回算国,関東,13112,東京都,世田谷区,NA,経堂駅,20,私立,共学,4.04,98.5507482633681,100
93,89,66,東京農業大学第一高等学校中等部,2回算理,関東,13112,東京都,世田谷区,NA,経堂駅,20,私立,共学,4.04,98.5507482633681,100
94,89,66,本郷中学校,2回,関東,13116,東京都,豊島区,NA,巣鴨駅,7,私立,男子校,4.159999999999999,98.5507482633681,100
95,89,66,明治大学付属明治中学校,1回,関東,13208,東京都,調布市,NA,西調布駅,20,私立,共学,4.1,98.5507482633681,100
96,89,66,サレジオ学院中学校,B,関東,14100,神奈川県,横浜市,都筑区,北山田駅,8,私立,男子校,4.1899999999999995,94.6540436924625,97.6473537594133
97,89,66,鎌倉学園中学校,算数選抜,関東,14204,神奈川県,鎌倉市,NA,北鎌倉駅,14,私立,男子校,4,94.6540436924625,96.373690000579
98,89,66,栄東中学校,A日程,関東,11100,埼玉県,さいたま市,見沼区,東大宮駅,13,私立,共学,4.13,81.6736001764522,93.9118974339608
99,89,66,浦和明の星女子中学校,第2回,関東,11100,埼玉県,さいたま市,緑区,東浦和駅,10,私立,女子校,4.1899999999999995,81.6736001764522,93.9118974339608
100,89,66,立教新座中学校,1回,関東,11230,埼玉県,新座市,NA,志木駅,15,私立,男子校,3.77,81.6736001764522,94.2704662775499
101,89,66,立教新座中学校,2回,関東,11230,埼玉県,新座市,NA,志木駅,15,私立,男子校,3.77,81.6736001764522,94.2704662775499
102,89,66,昭和学院秀英中学校,2回,関東,12100,千葉県,千葉市,美浜区,海浜幕張駅,14,私立,共学,4.06,76.754353582158,91.4787512398059
103,89,66,東邦大学付属東邦中学校,推薦,関東,12216,千葉県,習志野市,NA,京成大久保駅,13,私立,共学,4.1499999999999995,76.754353582158,99.8842205031868
104,89,66,海陽中等教育学校特給,NA,中部,23214,愛知県,蒲郡市,NA,三河大塚駅,21,私立,男子校,4.1899999999999995,78.7843681367308,68.8161633433076
105,89,66,洛南高等学校附属中学校,専願4科,近畿,26100,京都府,京都市,南区,東寺駅,11,私立,共学,4.2700000000000005,84.4101847610263,95.5079615473693
106,89,66,西大和学園中学校,本校3科男子,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
107,89,66,愛光中学校,首都圏,四国,38201,愛媛県,松山市,NA,西衣山駅,7,私立,共学,3.96,53.9999895118595,83.6358941454483
108,89,66,愛光中学校,大阪,四国,38201,愛媛県,松山市,NA,西衣山駅,7,私立,共学,3.96,53.9999895118595,83.6358941454483
109,89,66,愛光中学校,福岡,四国,38201,愛媛県,松山市,NA,西衣山駅,7,私立,共学,3.96,53.9999895118595,83.6358941454483
110,89,66,ラ・サール中学校,NA,九州・沖縄,46201,鹿児島県,鹿児島市,NA,谷山駅,7,私立,男子校,4.1899999999999995,41.5992761872142,80.6751662373046
111,111,65,開智日本橋学園中学校,特待4科,関東,13102,東京都,中央区,NA,浅草橋駅,5,私立,共学,3.59,98.5507482633681,100
112,111,65,開智日本橋学園中学校,特待算数,関東,13102,東京都,中央区,NA,浅草橋駅,5,私立,共学,3.59,98.5507482633681,100
113,111,65,広尾学園中学校,3回ISG,関東,13103,東京都,港区,NA,広尾駅,3,私立,共学,4.08,98.5507482633681,100
114,111,65,東洋英和女学院中学部A,NA,関東,13103,東京都,港区,NA,麻布十番駅,9,私立,女子校,4.05,98.5507482633681,100
115,111,65,高輪中学校,算数午後,関東,13103,東京都,港区,NA,泉岳寺駅,5,私立,男子校,4.14,98.5507482633681,100
116,111,65,学習院女子中等科一般A,NA,関東,13104,東京都,新宿区,NA,西早稲田駅,5,私立,女子校,4.06,98.5507482633681,100
117,111,65,広尾学園小石川中学校,第4回ISG,関東,13105,東京都,文京区,NA,千石駅,6,私立,共学,3,98.5507482633681,100
118,111,65,両国高等学校附属中学校,NA,関東,13107,東京都,墨田区,NA,錦糸町駅,10,公立,共学,4.18,98.5507482633681,100
119,111,65,攻玉社中学校,特別選抜,関東,13109,東京都,品川区,NA,不動前駅,4,私立,男子校,4.14,98.5507482633681,100
120,111,65,鷗友学園女子中学校,1回,関東,13112,東京都,世田谷区,NA,宮の坂駅,7,私立,女子校,4.2,98.5507482633681,100
121,111,65,東京農業大学第一高等学校中等部,1回算国,関東,13112,東京都,世田谷区,NA,経堂駅,20,私立,共学,4.04,98.5507482633681,100
122,111,65,東京農業大学第一高等学校中等部,1回算理,関東,13112,東京都,世田谷区,NA,経堂駅,20,私立,共学,4.04,98.5507482633681,100
123,111,65,東京農業大学第一高等学校中等部,3回,関東,13112,東京都,世田谷区,NA,経堂駅,20,私立,共学,4.04,98.5507482633681,100
124,111,65,東京都市大学付属中学校,2回Ⅱ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
125,111,65,東京都市大学付属中学校,3回Ⅰ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
126,111,65,東京都市大学付属中学校,3回Ⅱ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
127,111,65,東京都市大学付属中学校,4回Ⅰ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
128,111,65,東京都市大学付属中学校,4回Ⅱ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
129,111,65,三田国際科学学園中学校,MST,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
130,111,65,青山学院中等部,NA,関東,13113,東京都,渋谷区,NA,表参道駅,8,私立,共学,4.1,98.5507482633681,100
131,111,65,明治大学付属明治中学校,2回,関東,13208,東京都,調布市,NA,西調布駅,20,私立,共学,4.1,98.5507482633681,100
132,111,65,早稲田大学系属早稲田実業学校中等部,男子,関東,13214,東京都,国分寺市,NA,国分寺駅,6,私立,共学,4.14,98.5507482633681,100
133,111,65,桐朋中学校,2回,関東,13215,東京都,国立市,NA,谷保駅,15,私立,男子校,4.08,98.5507482633681,98.4804874886555
134,111,65,横浜共立学園中学校,B,関東,14100,神奈川県,横浜市,中区,石川町駅,10,私立,女子校,4.1,94.6540436924625,97.6473537594133
135,111,65,相模原中等教育学校,NA,関東,14150,神奈川県,相模原市,南区,相模大野駅,10,公立,共学,4.02,94.6540436924625,91.7777290752633
136,111,65,栄東中学校,B日程,関東,11100,埼玉県,さいたま市,見沼区,東大宮駅,13,私立,共学,4.13,81.6736001764522,93.9118974339608
137,111,65,淑徳与野中学校,医進第1回,関東,11100,埼玉県,さいたま市,中央区,さいたま新都心駅,12,私立,女子校,3.8,81.6736001764522,93.9118974339608
138,111,65,淑徳与野中学校,医進特別,関東,11100,埼玉県,さいたま市,中央区,さいたま新都心駅,12,私立,女子校,3.8,81.6736001764522,93.9118974339608
139,111,65,昭和学院秀英中学校,1回,関東,12100,千葉県,千葉市,美浜区,海浜幕張駅,14,私立,共学,4.06,76.754353582158,91.4787512398059
140,111,65,大阪星光学院中学校,Ⅱ型,近畿,27100,大阪府,大阪市,天王寺区,四天王寺前夕陽ヶ丘駅,3,私立,男子校,4.23,95.935960605068,99.9851039742597
141,111,65,神戸大学附属中等教育学校,NA,近畿,28100,兵庫県,神戸市,東灘区,御影駅,22,国立,共学,3.9,78.7931642111018,93.9352274396257
142,111,65,神戸女学院中学部,NA,近畿,28204,兵庫県,西宮市,NA,門戸厄神駅,19,私立,女子校,4.31,78.7931642111018,93.6507773066413
143,111,65,白陵中学校,後期,近畿,28216,兵庫県,高砂市,NA,曽根駅,17,私立,共学,4.22,78.7931642111018,89.2934497617473
144,111,65,帝塚山中学校,2次B女子S選抜,近畿,29201,奈良県,奈良市,NA,学園前駅,6,私立,共学,4.06,67.0351906003369,87.0518568649014
145,111,65,帝塚山中学校,B女子S選抜,近畿,29201,奈良県,奈良市,NA,学園前駅,6,私立,共学,4.06,67.0351906003369,87.0518568649014
146,111,65,西大和学園中学校,本校4科,近畿,29427,奈良県,河合町,NA,大輪田駅,10,私立,共学,4.35,67.0351906003369,58.9493477494418
147,111,65,広島大学附属中学校,NA,中国,34100,広島県,広島市,南区,広大附属学校前駅,1,国立,共学,4.05,65.4047466480361,86.5367094342388
148,148,64,芝中学校,1回,関東,13103,東京都,港区,NA,神谷町駅,6,私立,男子校,4.2,98.5507482633681,100
149,148,64,東京都市大学付属中学校,1回Ⅱ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
150,148,64,東京都市大学付属中学校,2回Ⅰ類,関東,13112,東京都,世田谷区,NA,成城学園前駅,12,私立,男子校,4,98.5507482633681,100
151,148,64,三田国際科学学園中学校,3回ｲﾝﾀｰ4科,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
152,148,64,三田国際科学学園中学校,3回ｲﾝﾀｰｻｲｴﾝｽ4科,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
153,148,64,三田国際科学学園中学校,3回ｲﾝﾀｰｻｲｴﾝｽ英国算,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
154,148,64,三田国際科学学園中学校,3回ｲﾝﾀｰ英語,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
155,148,64,三田国際科学学園中学校,4回ｲﾝﾀｰｻｲｴﾝｽ4科,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
156,148,64,三田国際科学学園中学校,4回ｲﾝﾀｰｻｲｴﾝｽ英国算,関東,13112,東京都,世田谷区,NA,用賀駅,7,私立,共学,3.8699999999999997,98.5507482633681,100
157,148,64,本郷中学校,1回,関東,13116,東京都,豊島区,NA,巣鴨駅,7,私立,男子校,4.159999999999999,98.5507482633681,100
158,148,64,巣鴨中学校,1期,関東,13116,東京都,豊島区,NA,大塚駅,8,私立,男子校,4.1,98.5507482633681,100
159,148,64,巣鴨中学校,2期,関東,13116,東京都,豊島区,NA,大塚駅,8,私立,男子校,4.1,98.5507482633681,100
160,148,64,巣鴨中学校,3期,関東,13116,東京都,豊島区,NA,大塚駅,8,私立,男子校,4.1,98.5507482633681,100
161,148,64,芝浦工業大学附属中学校,1回,関東,13108,東京都,江東区,NA,新豊洲駅,6,私立,共学,3.72,98.5507482633681,100
162,148,64,芝浦工業大学附属中学校,2回,関東,13108,東京都,江東区,NA,新豊洲駅,6,私立,共学,3.72,98.5507482633681,100
163,148,64,都立武蔵高等学校附属中学校,NA,関東,13203,東京都,武蔵野市,NA,武蔵境駅,10,公立,共学,4.02,98.5507482633681,100
164,148,64,中央大学附属横浜中学校,2回,関東,14100,神奈川県,横浜市,都筑区,センター北駅,11,私立,共学,3.92,94.6540436924625,97.6473537594133
165,148,64,青山学院横浜英和中学校,C,関東,14100,神奈川県,横浜市,南区,蒔田駅,9,私立,共学,3.62,94.6540436924625,97.6473537594133
166,148,64,淑徳与野中学校,医進第2回,関東,11100,埼玉県,さいたま市,中央区,さいたま新都心駅,12,私立,女子校,3.8,81.6736001764522,93.9118974339608
167,148,64,浦和中学校,NA,関東,11100,埼玉県,さいたま市,浦和区,北浦和駅,20,公立,共学,4.18,81.6736001764522,93.9118974339608
168,148,64,大阪星光学院中学校,Ⅰ型,近畿,27100,大阪府,大阪市,天王寺区,四天王寺前夕陽ヶ丘駅,3,私立,男子校,4.23,95.935960605068,99.9851039742597
169,148,64,四天王寺中学校,英数S,近畿,27100,大阪府,大阪市,天王寺区,四天王寺前夕陽ヶ丘駅,7,私立,女子校,4.06,95.935960605068,99.9851039742597
170,148,64,高槻中学校,B,近畿,27207,大阪府,高槻市,NA,高槻市駅,8,私立,共学,4.04,95.935960605068,95.2259440087554
171,148,64,清風南海中学校,A･ｽｰﾊﾟｰ特進,近畿,27225,大阪府,高石市,NA,北助松駅,7,私立,共学,3.98,95.935960605068,100
172,148,64,清風南海中学校,B･ｽｰﾊﾟｰ特進,近畿,27225,大阪府,高石市,NA,北助松駅,7,私立,共学,3.98,95.935960605068,100
173,148,64,清風南海中学校,SG･ｽｰﾊﾟｰ特進,近畿,27225,大阪府,高石市,NA,北助松駅,7,私立,共学,3.98,95.935960605068,100
174,148,64,六甲学院中学校,B,近畿,28100,兵庫県,神戸市,灘区,六甲駅,24,私立,男子校,4,78.7931642111018,93.9352274396257
175,148,64,西京高等学校附属中学校,NA,近畿,26100,京都府,京都市,中京区,西大路御池駅,NA,公立,共学,3.9899999999999998,84.4101847610263,95.5079615473693
176,148,64,智辯学園和歌山中学校,後期S選抜,近畿,30201,和歌山県,和歌山市,NA,黒江駅,9,私立,共学,3.55,37.7452893178291,76.9721553336006
177,148,64,愛光中学校,本校,四国,38201,愛媛県,松山市,NA,西衣山駅,7,私立,共学,3.96,53.9999895118595,83.6358941454483
178,148,64,福岡大学附属大濠中学校,甲種奨学生,九州・沖縄,40130,福岡県,福岡市,中央区,六本松駅,8,私立,共学,3.8099999999999996,73.7395754100998,97.0081096904475
179,148,64,早稲田佐賀中学校,1月一般･首都圏,九州・沖縄,41202,佐賀県,唐津市,NA,唐津駅,20,私立,共学,3.8699999999999997,34.8611484246564,35.82084465763
180,148,64,南山中学校,女子部女子部,中部,23100,愛知県,名古屋市,昭和区,いりなか駅,NA,私立,女子校,4.09,78.7843681367308,98.7497941836294
181,148,64,南高等学校附属中学校,NA,関東,14100,神奈川県,横浜市,港南区,上永谷駅,NA,公立,共学,4.17,94.6540436924625,97.6473537594133
182,182,63,函館ラ・サール中学校,1次･札幌,北海道,1202,北海道,函館市,NA,湯の川駅,12,私立,男子校,3.9,76.0440292813976,86.0445110003027
183,182,63,函館ラ・サール中学校,1次･大阪,北海道,1202,北海道,函館市,NA,湯の川駅,12,私立,男子校,3.9,76.0440292813976,86.0445110003027
184,182,63,函館ラ・サール中学校,1次･東京,北海道,1202,北海道,函館市,NA,湯の川駅,12,私立,男子校,3.9,76.0440292813976,86.0445110003027
185,182,63,函館ラ・サール中学校,1次･名古屋,北海道,1202,北海道,函館市,NA,湯の川駅,12,私立,男子校,3.9,76.0440292813976,86.0445110003027
